RuleID,Type,Antecedent,Antecedent_Name,Antecedent_Category,Consequent,Consequent_Name,Consequent_Category,Support,Confidence,Lift,Co_occurrence,Antecedent_Orders,Explanation
R0001,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology > Accessories,0.0031,0.0031,1.0,15,4916,"Top product in Accessories: 'Logitech G19 Programmable Gaming Keyboard' (15 orders, $27513 revenue)"
R0002,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology > Accessories,0.0037,0.0037,1.0,18,4916,"Top product in Accessories: 'Logitech P710e Mobile Speakerphone' (18 orders, $22408 revenue)"
R0003,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology > Accessories,0.002,0.002,1.0,10,4916,"Top product in Accessories: 'Plantronics CS510 - Over-the-Head monaural Wireles' (10 orders, $10822 revenue)"
R0004,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10004145,Logitech diNovo Edge Keyboard,Technology > Accessories,0.001,0.001,1.0,5,4916,"Top product in Accessories: 'Logitech diNovo Edge Keyboard' (5 orders, $7400 revenue)"
R0005,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology > Accessories,0.0008,0.0008,1.0,4,4916,"Top product in Accessories: 'Logitech Z-906 Speaker sys - home theater - 5.1-CH' (4 orders, $5610 revenue)"
R0006,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10001838,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Technology > Accessories,0.0014,0.0014,1.0,7,4916,"Top product in Accessories: 'Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming' (7 orders, $5120 revenue)"
R0007,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive,Technology > Accessories,0.0016,0.0016,1.0,8,4916,"Top product in Accessories: 'WD My Passport Ultra 2TB Portable External Hard Dr' (8 orders, $3998 revenue)"
R0008,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10002637,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Technology > Accessories,0.001,0.001,1.0,5,4916,"Top product in Accessories: 'Logitech VX Revolution Cordless Laser Mouse for No' (5 orders, $3744 revenue)"
R0009,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10001908,Logitech Wireless Headset h800,Technology > Accessories,0.0012,0.0012,1.0,6,4916,"Top product in Accessories: 'Logitech Wireless Headset h800' (6 orders, $2800 revenue)"
R0010,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10004666,Maxell iVDR EX 500GB Cartridge,Technology > Accessories,0.0004,0.0004,1.0,2,4916,"Top product in Accessories: 'Maxell iVDR EX 500GB Cartridge' (2 orders, $2755 revenue)"
